ProdId,GHG Emission (g) / 100g,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,Combined Label,Description
P-0,7.655000000000001,0.1975,0.2725,0.008,Green,Full Aloo Tikki Burger
P-1,55.68485462226979,1.2721167633556247,9.208553690685333,0.13074706422242782,Green,Aloo Tikki
P-14,11.424084852734923,0.1038078541374474,2.990662692847125,0.03710133239831697,Green,Mixed Mushroom
P-17,89.46926315789474,0.01822807017543859,4.493473684210526,0.40806666666666663,Green,Pesto Cream
P-3,13.067799145299144,0.13582264957264958,3.1472435897435895,0.0379775641025641,Green,Cooked Bowtie
P-24,5.021088481556913,0.06793165874632269,0.45856076035302107,0.013566191446028511,Green,Smoked Paprika Rub
P-7,16.795304124261595,0.06742153181595228,0.12286587946142022,0.04478181110251905,Green,Full KFC Double Down
P-4,189.23775323531405,0.8025543736025477,0.8854549766244326,0.21139643607290468,Yellow,Double Down Chicken
P-12,5.495129204114462,0.05646684671123507,0.41408022313720283,0.010778397603341155,Green,Marinated Chicken Thigh
P-13,211.52378067252346,0.8710996667676462,0.9119206301120872,0.23629203271735835,Yellow,Mint Chutney
P-16,13.602584795321636,0.04016374269005848,0.14885964912280703,0.02804327485380117,Green,Cheap Pasta
P-22,21.91431713843199,0.0737759868768007,0.3821444724629315,0.05100181387706162,Green,Roasted Chicken
P-25,4.11452951507273,0.027671154966079817,0.3591491485568259,0.0060879284161750435,Green,Smoked Tofu Block
P-9,20.289811949354764,0.23856225904177408,5.322984245080866,0.06197847838276009,Green,Gochujang Alfredo
P-19,12.837616910123756,0.04627358490566037,0.48491757963075666,0.04523612801785352,Green,Potato Patty
P-2,62.6499283369755,0.20581567848995835,3.6616401885731746,0.14130881360241326,Green,Confit Garlic Oil
P-18,41.452222222222225,0.29,10.245,0.06155555555555556,Green,Pickled Daikon
P-10,7.07903208608754,0.08319838566352232,0.8891184525140731,0.019725015499954923,Green,GF KFC Sauce
P-23,30.516681666992756,0.23150846214048132,2.395674998043436,0.03293278223439639,Green,Roasted Veggie Mix
P-6,68.82199999999999,0.10933333333333335,0.05333333333333334,0.32366666666666666,Green,Fried Chickpea
P-8,61.62665384615384,0.6083878205128205,7.8640384615384615,0.08802115384615383,Green,Full Smoked Tofu Burger
P-11,108.84075472721588,0.1493060262031028,0.07904584585734434,0.5146971167652633,Green,Marinara SauceCOMMISSARY  (COM)
P-5,214.93525,0.15187499999999998,0.5855000000000001,0.7034750000000001,Yellow,Fattoush Salad
P-21,88.42183162684869,0.1655574516496018,48.387451649601815,0.11325369738339021,Green,Rice Patty Cake
P-15,110.06737373737374,0.008872053872053873,0.05457912457912459,0.5327744107744108,Green,Onion/Garlic/Oil
P-27,159.76139344262293,0.016311475409836063,0.13549180327868854,0.7795000000000001,Green,Sumac Dressing
P-20,213.81203263568645,5.60583219311137,19.162762208821096,0.5607826905859896,Red,Potato Skins
P-28,219.98000000000002,5.840000000000001,18.515,0.5755,Red,Thyme Oil
P-26,439.96000000000004,11.680000000000001,37.03,1.151,Red,PREP SOUR CREAM ALFREDOCOMMISSARY  (COM)
