PrepId,Description
P-0,Pickled Daikon
P-1,Full KFC Double Down
P-2,Smoked Tofu Block
P-3,Pesto Cream
P-4,Smoked Paprika Rub
P-5,Onion/Garlic/Oil
P-6,Marinara SauceCOMMISSARY  (COM)
P-7,Potato Skins
P-8,Cheap Pasta
P-9,Confit Garlic Oil
P-10,Potato Patty
P-11,Gochujang Alfredo
P-12,Cooked Bowtie
P-13,Fried Chickpea
P-14,GF KFC Sauce
P-15,Sumac Dressing
P-16,Aloo Tikki
P-17,Roasted Veggie Mix
P-18,Double Down Chicken
P-19,Rice Patty Cake
P-20,Full Smoked Tofu Burger
P-21,PREP SOUR CREAM ALFREDOCOMMISSARY  (COM)
P-22,Mint Chutney
P-23,Roasted Chicken
P-24,Thyme Oil
P-25,Marinated Chicken Thigh
