,ItemId,Description,Qty,UOM,PrepId
2,I-100,2022.2 Cooked Sushi Rice           ,1350.000,g,P-20
3,I-101,SHICHIMI TOGARASHI             ,15.000,g,P-20
4,I-102, PFO OIL CANOLA JIB  AN T      ,100.000,ml,P-20
5,I-133, PFO OIL CANOLA JIB  AN T      ,3000.000,ml,P-25
6,I-134,THYME              ,50.000,g,P-25
7,I-15,SPICE SMOKED PAPRIKA            ,250.000,g,P-4
8,I-16,SPICE CHILI POWDER            ,50.000,g,P-4
9,I-17,Spice-Seasoning Salt Lawr y           ,600.000,g,P-4
10,I-18,SUGAR GRANULATED FI N           ,100.000,g,P-4
11,I-55,POTATO RUSSET BAKER            ,3250.000,g,P-11
12,I-56,PFO OIL CANOLA JIB  AN T        ,60.000,g,P-11
13,I-57,SPICE CUMIN SEED WH O          ,10.000,g,P-11
14,I-58,ONION RED JUMBO            ,175.000,g,P-11
15,I-59,H BUNC H BUNC H CILANTRO         ,0.500,BUNC,P-11
16,I-60,Garam Masala             ,5.000,g,P-11
17,I-61,Chaat Masala             ,17.000,g,P-11
18,I-62,SALT COARSE KOSHER            ,30.000,g,P-11
19,I-63,Chana (Chickpea) Flour            ,190.000,g,P-11
20,I-135, Chicken Flat Thigh s/onknu c        ,50.000,lb,P-26
21,I-136,2022 Chicken Marinate            ,2100.000,g,P-26
22,I-9, Tofu MED Firm Sunrise         ,36.000,lb,P-2
23,I-10,Hickory Wood Chips            ,1000.000,g,P-2
24,I-11,SALT COARSE KOSHER            ,250.000,g,P-2
