ProdId,Weight (g),Total CO2 Emission (g),Total Nitrogen Emission (g),Total Freshwater Withdrawals (mL),GHG Emission (g) / 100g,N lost (g) / 100g,Stress-Weighted Water Use (L) / 100g,GHG Emission (g) / g,N lost (g) / g,Stress-Weighted Water Use (L) / g,Combined Label
P-0,1000.0,306.20000000000005,7.9,9900.0,30.620000000000005,0.79,0.9900000000000001,0.3062,0.0079,0.0099,Green
P-16,12915.0,2990.848,2.928,132712.25,23.157940379403794,0.02267131242740999,1.0275822686798297,0.23157940379403794,0.00022671312427409988,0.010275822686798297,Green
P-23,185239.59999999995,36811.325032,321.49994200000003,3256504.529,19.872276247627404,0.1735589701122223,1.7579958761517522,0.19872276247627405,0.0017355897011222228,0.017579958761517522,Green
P-6,1490.52,320.51388799999995,3.9043360000000003,37492.729999999996,21.50349461932748,0.26194455626224405,2.5154127418619003,0.2150349461932748,0.0026194455626224406,0.025154127418619002,Green
P-8,81685.91999999998,6887.906428,107.65287800000003,1106521.7159999998,8.432183206114347,0.131788780734795,1.3546051951180815,0.08432183206114348,0.00131788780734795,0.013546051951180815,Green
P-9,243.0,77.6271,0.3952,4369.4,31.945308641975306,0.16263374485596707,1.7981069958847735,0.31945308641975306,0.0016263374485596708,0.017981069958847736,Green
P-10,113095.04000000002,17413.983308000003,70.977102,388167.195,15.39765431622819,0.06275881064280095,0.34322212097011495,0.1539765431622819,0.0006275881064280095,0.0034322212097011497,Green
P-19,16412.8,4741.69914,11.243390000000002,2247489.955,28.890251145447454,0.06850378972509262,13.693519417771496,0.28890251145447454,0.0006850378972509262,0.13693519417771496,Green
P-4,5258.5199999999995,4935.525,2.29417,2632.439,93.85768238972182,0.043627674706951766,0.05006045427230476,0.9385768238972182,0.00043627674706951767,0.0005006045427230476,Green
P-7,34120.0,7670.593500000001,30.480449999999998,190611.925,22.481223622508793,0.08933308909730363,0.5586515973036342,0.22481223622508795,0.0008933308909730362,0.005586515973036342,Green
P-11,94.0,13.2,0.11475,343.82500000000005,14.04255319148936,0.12207446808510639,0.3657712765957447,0.1404255319148936,0.0012207446808510638,0.0036577127659574472,Green
P-14,12000.0,30.15,20.365,58842.5,0.25125,0.16970833333333332,0.4903541666666667,0.0025125,0.0016970833333333332,0.004903541666666667,Green
