IngredientId,Qty,Uom,Recipe,Description
I-1971,0.25,ea,R-17284,LIMES
I-15803,1.0,can,R-17284,Red Bull Watermelon
I-5505,0.25,HEAD,R-18292,Lettuce - Romaine 
I-11706,1.0,ea,R-18292,Glry Side Fries 2023
I-13308,1.0,ea,R-18292,"TORTILLA 12"" FLOUR PRESSED"
I-15514,0.5,slice,R-18292,VEG BACON VEGAN FZN
I-4082,3.0,ea,R-15423,bread bun slider brioche
I-1789,1.0,HEAD,P-14356,CUCUMBER LONG ENGLISH MED
I-2919,6.0,ea,P-14356,Yaki Nori half Cut
I-13956,6.0,PORT,P-14356,Sushi Rice
I-1752,3.0,BUNCH,R-6243,CILANTRO
I-5899,24.0,ea,R-13758,"Bag - Vacuum Seal 12""x14"" "
I-4014,16.0,ea,R-16573,"Tortilla Corn 6"""
I-7647,2.0,ea,R-15511,"Tortilla Flour 6"""
I-10942,2.0,ea,R-15511,Cod Port 1.7Z Btd Taco Cut
I-13719,1.0,ea,R-15511,2019 misc exp 
I-9665,1.0,ea,R-10484,COD GREY LOIN 3OZ IQF OW
I-2087,0.2,BUNCH,R-17356,PARSLEY 
I-13414,1.0,PORT,R-17356,linguini
I-17486,1.0,PORT,R-17356,2022 Blackened Chicken
I-16570,2.0,PORT,R-16576,2022 Ancho Tempeh marinade
I-1541,2.0,ea,R-17377,APPLE ROYAL GALA 100-113CT FAN
I-12354,4.0,piece,R-16775,GYOZA PORK 250PC
I-17316,1.0,PORT,R-16775,2022 HH Corn Fritters
I-1549,40.0,ea,R-16016,ARTICHOKE 1/4
I-13577,0.5,cs,R-17374,Pork Rib Back Danish Baby14-18
I-2992,1.0,slice,R-17354,Bacon Pre-Ckd 30-34 ct
I-14905,1.0,PORT,R-16099,2022 Fried Chicken Tenders 
I-1963,0.25,ea,R-8990,LEMONS
I-5265,2.0,slice,R-8990,Bacon Raw 14-22ct econo
I-5126,1.0,slice,R-10589,CHEESE NATURAL SL MOZZ
I-14948,1.0,ea,R-10589,Brioche Hamburger Bun
I-2121,1.0,slice,P-9003,PICKLE DILL SANDW LONG SLCD
I-3498,1.0,slice,P-9003,Cheese Cheddar Slices 21gm
I-14218,1.0,ea,P-9003,Burger - Craft 6oz
I-16223,0.02,1 KG,R-14525,2022 pickled jalepenos
I-3337,4.0,ea,R-14507,TOMATO - CHERRY
I-8151,0.5,LBS,R-14271,pea greens
I-15477,1.0,PORT,R-15438,2022 Jasmin rice
I-3354,1.0,ea,R-16791,"Knotted Skewer Bamboo 4"""
I-2133,1.0,ea,R-16794,PINEAPPLE
I-16638,1.0,ea,R-16773,Burger - chefs choice 6z
I-9017,1.0,ea,R-16831,2022 Gallery Fries
I-13813,0.2,LBS,R-17371,Tomato Baby Gem Mix HH
I-14126,0.5,ea,R-17306,"PITA THICK 5"""
I-14127,0.5,ea,R-17306,PITA POCKETS THIN
I-3700,1.0,ea,R-15173,"TORTILLA 12"" FLOUR El Torito"
I-13598,6.0,ea,R-17303,Spring rolls-50gx40p
I-1695,1.0,slice,R-15050,CHEESE SWISS SLCD NAT 21G
I-12060,1.0,ea,R-15050,"Brioche Sliced Ham Bun 4"""
I-15051,1.0,ea,R-15050,G21 Roasted Portobello
I-16221,0.2,5L,R-16222,2022 pickled jalapeno
I-16794,1.0,PORT,P-16795,2022 Grilled Pineapple
I-16784,1.0,PORT,R-16783,2022 Roasted Carrots
I-16785,1.0,PORT,R-16783,2022 Quinoa Croquette
I-4697,1.0,ea,R-16861,Apple Juice tetra Pack
I-16789,1.0,PORT,R-16798,2022 Blackned Salmon 
I-15673,1.0,ea,R-17362,SO BAMBOO LEAVES 200s
I-4041,1.0,ea,R-17297,Basket Liner Black Check
I-4098,2.0,ea,R-17297,Cup 2oz Portion
I-4130,2.0,ea,R-17297,Lid 2oz Portion Flat Clr f/Blk
I-7789,1.0,ea,R-17297,Napkin Din 2py 1/8 Fold Wht
I-9599,1.0,ea,R-17297,CUTLERY SPOON WOODEN ECO 
I-9600,1.0,ea,R-17297,CUTLERY KNIFE WOODEN ECO
I-9601,1.0,ea,R-17297,CUTLERY FORK WOODEN ECO 
I-16242,1.0,ea,R-17297,9x6x3 CLAMSHELL 
I-14978,1.0,ea,R-15057,Brioche Bun Vegan Frz
I-15486,1.0,ea,R-15057,"G21 B,Bean Patty"
I-7804,0.5,HEAD,R-16782,Romaine Hearts
I-4022,2.0,ea,R-15405,Belgian Waffle
I-14442,4.0,ea,P-18327,Falafel Balls 300ct
I-16637,10.0,piece,R-18412,GYOZA PORK 12pak/cs
I-15736,10.0,slice,R-18344,Garlic Toast Slcd par baked 
I-13816,0.065,LBS,P-18397,BEET CANDY CANE TEEN
I-2071,0.5,ea,P-18275,ORANGES
I-17990,0.025,LBS,P-18275,BEETS Candy Cane 5lb
I-17991,0.25,ea,P-18275,GRAPEFRUIT pink lrg 4ct 
I-1626,1.0,ea,P-15019,BREAD NAAN ORIGINAL INDIAN
I-14517,0.5,ea,P-15019,Lijjat Papad
I-13109,1.0,ea,R-17988,16 OZ Mixing Glass 
I-12921,1.0,ea,P-18316,EGGPLANT
I-15369,0.08,3 LTR,R-18267,G21 - Marinara Sauce
I-18257,1.0,ea,R-18267,Flatbread oval
I-8091,4.0,slice,R-18269,Salami Genoa Slcd Deli
I-5103,15.0,ea,R-12034,BAG CLR POLY 2LB 4X2X10IN
I-7335,3.0,ea,R-14093,Tea Assam Brkfst Two Leaves
I-2319,2.0,slice,R-14818,BREAD - SOURDOUGH HOMESTYLE
I-14841,2.0,slice,R-14818,Cheese Monterey Jalapeno SLCD
I-12306,2.0,ea,R-14152,Garlic Baguette Slice
I-14638,6.0,ea,R-14623,Perogies potato 3 chz 160ct
I-1553,6.0,ea,R-15407,AVOCADOS
I-15495,1.0,slice,R-15408,"Country Sourdough 5/8"""
I-1835,2.0,ea,R-15411,EGG MED FREE RUN LOOSE PACK
I-15475,1.0,ea,R-15431,NY Cheesecake GF individual 
I-1787,1.0,ea,R-15434,CROISSANT JUMBO
I-15409,2.0,ea,R-15434,G21 Poached Egg
I-1833,10.0,ea,R-15433,EGG BROWN LARGE FREE RUN LOOSE
I-13385,0.25,BUNCH,R-15425,KALE 3ct
I-15066,3.0,ea,R-15075,G21-Meatballs
I-14146,2.0,ea,R-14250,GF Vegan Choc Sand Cookie
I-9034,0.083,ea,R-12306,ITEM COOKED BAGUETTE
I-11631,1.0,ea,R-9389,2022 Fried Chicken Thigh
I-14339,12.0,PORT,R-14594,nigiri rice 
I-14340,4.0,PORT,R-14594,nigiri salmon
I-14341,4.0,PORT,R-14594,nigiri tuna
I-14342,4.0,PORT,R-14594,nigiri ebi
I-14586,1.0,PORT,R-14594,HR MANGO CRUNCH ROLL
I-2676,34.0,can,R-11361,Can Juice Apple 340ml
I-4296,12.0,ea,R-11361,Cinnamon Stick
I-8250,8.0,ea,R-14584,Soy Sauce 8ml Peko
I-13957,1.0,PORT,R-14584,HR AVOCADO ROLL
I-14390,4.0,PORT,R-14584,NIGIRI INARI
I-8298,2.0,ea,R-14586,Shrimp Tempura 31/40
I-3181,0.15,PKG,P-18266,Rice Vermicelli Noodle
I-16224,0.25,ea,R-18720,LEMONS 5lb bag
I-12034,1.0,ea,R-11824,G18 Java Rice
I-1471,1.0,bottle,R-9013,Kronenbourg 1664 Blanc
I-14208,1.0,ea,R-14342,FRZ SUSHI EBI 4L
I-12353,1.0,piece,R-14390,BEAN CURD INARI 
I-16226,10.0,ea,R-17134,NOBASHI EBI 26-30
I-8990,1.0,ea,R-15513,2022 Chicken Caesar
I-15017,2.0,PORT,R-15513,G21 Mac And Cheese
I-17134,1.0,piece,P-14411,NOBASHI TEMPURA
I-2032,2.0,ea,P-15606,NAPKIN DISP 1PLY INTERFOLD KRA
I-11233,1.0,ea,P-15606,"9"" Bamboo Chopstick - GNE"
I-15596,1.0,ea,P-15606,Sushi tray fibre #4
I-15597,1.0,ea,P-15606,LID Sushi tray #4
I-14400,0.5,PORT,P-14396,nigiri tamago
I-2375,2.9,1 KG,P-3173,RICE SUSHI SHIRAKIKU CALROSE
I-12339,1.0,PORT,P-3173,rice vinegar
I-2586,0.005,tank,R-13392,CO2 Tank
I-9186,1.0,ea,R-15315,"9""x6 1/8"" NAT HINGED CONTAINER"
I-15425,1.0,PORT,R-15426,G21 Southwest Tofu Scrambled 
I-2432,1.0,ea,R-18675,VEG BURGER GARDEN 4Z
